question_id,category,source_file,tier,expected_in_weights,deepseek-flash,deepseek-pro,gpt-5.4-mini,gpt-5.5,haiku,opus,sonnet
Q-BSL-074,BSL,framework/skills/bsl-practices/security/references/secrets.md,1,нет,hallucinates,hallucinates,partial,partial,knows_not,unstable,partial
Q-BSL-077,BSL,framework/skills/bsl-practices/test-writing/SKILL.md,1,нет,hallucinates,hallucinates,unstable,partial,hallucinates,partial,hallucinates
Q-BSL-083,BSL,framework/skills/bsl-practices/test-writing/references/learned-patterns.md,1,нет,hallucinates,knows,knows,knows,hallucinates,partial,partial
Q-BSL-086,BSL,framework/skills/bsl-practices/test-writing/references/yaxunit-cheatsheet.md,1,нет,hallucinates,partial,partial,hallucinates,hallucinates,partial,partial
Q-BSP-001,BSP,framework/skills/bsl-practices/ssl-patterns/SKILL.md,1,частично,unstable,knows,knows,knows,knows,knows,knows
Q-BSP-002,BSP,framework/skills/bsl-practices/ssl-patterns/SKILL.md,1,да,knows,unstable,knows_not,knows,knows,knows,knows
Q-BSP-003,BSP,framework/skills/bsl-practices/ssl-patterns/SKILL.md,1,частично,hallucinates,hallucinates,unstable,hallucinates,knows_not,unstable,hallucinates
Q-BSP-004,BSP,framework/skills/bsl-practices/ssl-patterns/SKILL.md,1,нет,hallucinates,hallucinates,partial,partial,knows,knows,knows
Q-BSP-005,BSP,framework/skills/bsl-practices/ssl-patterns/SKILL.md,1,частично,hallucinates,hallucinates,hallucinates,knows,knows,knows,knows
Q-BSP-033,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/commands-external.md,1,нет,partial,hallucinates,partial,knows,knows,knows,knows
Q-BSP-034,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/commands-external.md,1,нет,hallucinates,hallucinates,knows_not,partial,knows_not,hallucinates,hallucinates
Q-BSP-035,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/commands-external.md,1,частично,hallucinates,hallucinates,partial,partial,knows,partial,unstable
Q-BSP-036,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/commands-external.md,1,нет,knows,hallucinates,hallucinates,knows,hallucinates,knows,knows
Q-BSP-037,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/commands-external.md,1,нет,hallucinates,hallucinates,partial,hallucinates,partial,unstable,unstable
Q-BSP-046,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/forms-validation.md,1,нет,hallucinates,hallucinates,knows,hallucinates,knows,partial,knows
Q-BSP-047,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/forms-validation.md,1,нет,unstable,unstable,partial,knows,partial,knows,knows
Q-BSP-048,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/forms-validation.md,1,нет,knows,partial,knows,knows,knows,knows,knows
Q-BSP-049,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/forms-validation.md,1,нет,partial,partial,partial,partial,partial,partial,partial
Q-BSP-050,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/forms-validation.md,1,нет,knows,hallucinates,partial,knows,hallucinates,unstable,partial
Q-BSP-055,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/files-and-versions.md,1,нет,hallucinates,hallucinates,hallucinates,unstable,knows,hallucinates,partial
Q-BSP-056,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/files-and-versions.md,1,нет,hallucinates,hallucinates,unstable,partial,partial,partial,partial
Q-BSP-057,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/files-and-versions.md,1,нет,hallucinates,hallucinates,unstable,hallucinates,knows_not,knows,partial
Q-BSP-058,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/files-and-versions.md,1,нет,knows,hallucinates,knows,knows,knows_not,hallucinates,hallucinates
Q-BSP-059,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/files-and-versions.md,1,нет,hallucinates,hallucinates,unstable,hallucinates,hallucinates,hallucinates,hallucinates
Q-BSP-064,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/data-exchange.md,1,нет,hallucinates,partial,partial,knows,unstable,knows,knows
Q-BSP-065,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/data-exchange.md,1,нет,knows,knows,knows,knows,partial,knows,knows
Q-BSP-066,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/data-exchange.md,1,нет,hallucinates,knows_not,partial,partial,partial,partial,hallucinates
Q-BSP-067,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/data-exchange.md,1,нет,hallucinates,hallucinates,knows_not,knows,partial,partial,partial
Q-BSP-068,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/data-exchange.md,1,нет,hallucinates,unstable,hallucinates,partial,knows_not,hallucinates,hallucinates
Q-BSP-093,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/esign-mcd.md,1,нет,unstable,hallucinates,hallucinates,knows,hallucinates,hallucinates,hallucinates
Q-BSP-094,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/esign-mcd.md,1,нет,hallucinates,unstable,hallucinates,hallucinates,unstable,knows,knows
Q-BSP-095,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/esign-mcd.md,1,нет,knows,hallucinates,knows,knows,knows_not,knows,knows
Q-BSP-096,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/esign-mcd.md,1,нет,hallucinates,hallucinates,knows_not,knows,knows_not,knows_not,hallucinates
Q-BSP-097,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/esign-mcd.md,1,нет,hallucinates,hallucinates,unstable,unstable,partial,partial,hallucinates
Q-BSP-102,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/protection-pd.md,1,нет,hallucinates,hallucinates,partial,partial,hallucinates,knows_not,knows_not
Q-BSP-103,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/protection-pd.md,1,нет,hallucinates,hallucinates,knows_not,knows_not,knows_not,hallucinates,hallucinates
Q-BSP-104,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/protection-pd.md,1,нет,hallucinates,partial,partial,partial,partial,unstable,partial
Q-BSP-105,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/protection-pd.md,1,частично,hallucinates,hallucinates,knows_not,unstable,knows_not,knows_not,knows_not
Q-BSP-106,BSP,framework/skills/bsl-practices/ssl-patterns/references/bsp-3.1.11/protection-pd.md,1,нет,hallucinates,hallucinates,partial,knows_not,partial,unstable,hallucinates
