Файлов вопросов: 2 | вопросов: 56 | моделей: 2 | повторов: до 3 (адаптивно)
Всего ячеек: 336 | к выполнению: до 336 | пропуск (resume): 0
Q-BSL-021 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[23/336] Q-BSL-022 | deepseek-pro | rep 1/3 OK (4s)
[24/336] Q-BSL-022 | deepseek-pro | rep 2/3 OK (6s)
Q-BSL-022 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[25/336] Q-BSL-022 | deepseek-flash | rep 1/3 OK (2s)
[26/336] Q-BSL-022 | deepseek-flash | rep 2/3 OK (3s)
Q-BSL-022 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[27/336] Q-BSL-029 | deepseek-pro | rep 1/3 OK (9s)
[28/336] Q-BSL-029 | deepseek-pro | rep 2/3 OK (12s)
Q-BSL-029 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[29/336] Q-BSL-029 | deepseek-flash | rep 1/3 OK (4s)
[30/336] Q-BSL-029 | deepseek-flash | rep 2/3 OK (4s)
[31/336] Q-BSL-029 | deepseek-flash | rep 3/3 OK (4s)
[32/336] Q-BSL-034 | deepseek-pro | rep 1/3 OK (15s)
[33/336] Q-BSL-034 | deepseek-pro | rep 2/3 OK (12s)
[34/336] Q-BSL-034 | deepseek-pro | rep 3/3 OK (18s)
[35/336] Q-BSL-034 | deepseek-flash | rep 1/3 OK (3s)
[36/336] Q-BSL-034 | deepseek-flash | rep 2/3 OK (4s)
[37/336] Q-BSL-034 | deepseek-flash | rep 3/3 OK (3s)
[38/336] Q-BSL-036 | deepseek-pro | rep 1/3 OK (10s)
[39/336] Q-BSL-036 | deepseek-pro | rep 2/3 OK (6s)
[40/336] Q-BSL-036 | deepseek-pro | rep 3/3 OK (6s)
[41/336] Q-BSL-036 | deepseek-flash | rep 1/3 OK (2s)
[42/336] Q-BSL-036 | deepseek-flash | rep 2/3 OK (2s)
[43/336] Q-BSL-036 | deepseek-flash | rep 3/3 OK (2s)
[44/336] Q-BSL-039 | deepseek-pro | rep 1/3 OK (6s)
[45/336] Q-BSL-039 | deepseek-pro | rep 2/3 OK (8s)
[46/336] Q-BSL-039 | deepseek-pro | rep 3/3 OK (9s)
[47/336] Q-BSL-039 | deepseek-flash | rep 1/3 OK (5s)
[48/336] Q-BSL-039 | deepseek-flash | rep 2/3 OK (4s)
[49/336] Q-BSL-039 | deepseek-flash | rep 3/3 OK (4s)
[50/336] Q-BSL-044 | deepseek-pro | rep 1/3 OK (5s)
[51/336] Q-BSL-044 | deepseek-pro | rep 2/3 OK (6s)
Q-BSL-044 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[52/336] Q-BSL-044 | deepseek-flash | rep 1/3 OK (2s)
[53/336] Q-BSL-044 | deepseek-flash | rep 2/3 OK (3s)
Q-BSL-044 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[54/336] Q-BSL-047 | deepseek-pro | rep 1/3 OK (7s)
[55/336] Q-BSL-047 | deepseek-pro | rep 2/3 OK (5s)
Q-BSL-047 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[56/336] Q-BSL-047 | deepseek-flash | rep 1/3 OK (2s)
[57/336] Q-BSL-047 | deepseek-flash | rep 2/3 OK (2s)
Q-BSL-047 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[58/336] Q-BSL-051 | deepseek-pro | rep 1/3 OK (6s)
[59/336] Q-BSL-051 | deepseek-pro | rep 2/3 OK (8s)
Q-BSL-051 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[60/336] Q-BSL-051 | deepseek-flash | rep 1/3 OK (4s)
[61/336] Q-BSL-051 | deepseek-flash | rep 2/3 OK (5s)
Q-BSL-051 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[62/336] Q-BSL-055 | deepseek-pro | rep 1/3 OK (7s)
[63/336] Q-BSL-055 | deepseek-pro | rep 2/3 OK (7s)
[64/336] Q-BSL-055 | deepseek-pro | rep 3/3 OK (7s)
[65/336] Q-BSL-055 | deepseek-flash | rep 1/3 OK (4s)
[66/336] Q-BSL-055 | deepseek-flash | rep 2/3 OK (5s)
Q-BSL-055 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[67/336] Q-BSL-061 | deepseek-pro | rep 1/3 OK (5s)
[68/336] Q-BSL-061 | deepseek-pro | rep 2/3 OK (4s)
Q-BSL-061 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[69/336] Q-BSL-061 | deepseek-flash | rep 1/3 OK (3s)
[70/336] Q-BSL-061 | deepseek-flash | rep 2/3 OK (3s)
Q-BSL-061 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[71/336] Q-BSL-065 | deepseek-pro | rep 1/3 OK (6s)
[72/336] Q-BSL-065 | deepseek-pro | rep 2/3 OK (9s)
Q-BSL-065 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[73/336] Q-BSL-065 | deepseek-flash | rep 1/3 OK (4s)
[74/336] Q-BSL-065 | deepseek-flash | rep 2/3 OK (6s)
Q-BSL-065 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[75/336] Q-BSL-072 | deepseek-pro | rep 1/3 OK (6s)
[76/336] Q-BSL-072 | deepseek-pro | rep 2/3 OK (5s)
Q-BSL-072 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[77/336] Q-BSL-072 | deepseek-flash | rep 1/3 OK (2s)
[78/336] Q-BSL-072 | deepseek-flash | rep 2/3 OK (3s)
Q-BSL-072 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[79/336] Q-BSL-074 | deepseek-pro | rep 1/3 OK (5s)
[80/336] Q-BSL-074 | deepseek-pro | rep 2/3 OK (5s)
Q-BSL-074 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[81/336] Q-BSL-074 | deepseek-flash | rep 1/3 OK (2s)
[82/336] Q-BSL-074 | deepseek-flash | rep 2/3 OK (3s)
[83/336] Q-BSL-074 | deepseek-flash | rep 3/3 OK (5s)
[84/336] Q-BSL-077 | deepseek-pro | rep 1/3 OK (28s)
[85/336] Q-BSL-077 | deepseek-pro | rep 2/3 OK (7s)
[86/336] Q-BSL-077 | deepseek-pro | rep 3/3 OK (9s)
[87/336] Q-BSL-077 | deepseek-flash | rep 1/3 OK (3s)
[88/336] Q-BSL-077 | deepseek-flash | rep 2/3 OK (3s)
Q-BSL-077 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[89/336] Q-BSL-083 | deepseek-pro | rep 1/3 OK (17s)
[90/336] Q-BSL-083 | deepseek-pro | rep 2/3 OK (13s)
Q-BSL-083 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)[145/336] Q-BSP-036 | deepseek-pro | rep 1/3 ERROR: DeepSeek сетевая ошибка: HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /chat/co
[180/336] Q-BSP-050 | deepseek-flash | rep 2/3 ERROR: DeepSeek сетевая ошибка: HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /chat/co

[91/336] Q-BSL-083 | deepseek-flash | rep 1/3 OK (3s)
[92/336] Q-BSL-083 | deepseek-flash | rep 2/3 OK (2s)
Q-BSL-083 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[93/336] Q-BSL-086 | deepseek-pro | rep 1/3 OK (16s)
[94/336] Q-BSL-086 | deepseek-pro | rep 2/3 OK (9s)
[95/336] Q-BSL-086 | deepseek-pro | rep 3/3 OK (10s)
[96/336] Q-BSL-086 | deepseek-flash | rep 1/3 OK (3s)
[97/336] Q-BSL-086 | deepseek-flash | rep 2/3 OK (3s)
[98/336] Q-BSL-086 | deepseek-flash | rep 3/3 OK (3s)
[99/336] Q-BSP-001 | deepseek-pro | rep 1/3 OK (6s)
[100/336] Q-BSP-001 | deepseek-pro | rep 2/3 OK (4s)
[101/336] Q-BSP-001 | deepseek-pro | rep 3/3 OK (6s)
[102/336] Q-BSP-001 | deepseek-flash | rep 1/3 OK (2s)
[103/336] Q-BSP-001 | deepseek-flash | rep 2/3 OK (2s)
Q-BSP-001 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[104/336] Q-BSP-002 | deepseek-pro | rep 1/3 OK (6s)
[105/336] Q-BSP-002 | deepseek-pro | rep 2/3 OK (5s)
Q-BSP-002 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[106/336] Q-BSP-002 | deepseek-flash | rep 1/3 OK (3s)
[107/336] Q-BSP-002 | deepseek-flash | rep 2/3 OK (2s)
[108/336] Q-BSP-002 | deepseek-flash | rep 3/3 OK (4s)
[109/336] Q-BSP-003 | deepseek-pro | rep 1/3 OK (18s)
[110/336] Q-BSP-003 | deepseek-pro | rep 2/3 OK (8s)
[111/336] Q-BSP-003 | deepseek-pro | rep 3/3 OK (12s)
[112/336] Q-BSP-003 | deepseek-flash | rep 1/3 OK (3s)
[113/336] Q-BSP-003 | deepseek-flash | rep 2/3 OK (4s)
[114/336] Q-BSP-003 | deepseek-flash | rep 3/3 OK (3s)
[115/336] Q-BSP-004 | deepseek-pro | rep 1/3 OK (9s)
[116/336] Q-BSP-004 | deepseek-pro | rep 2/3 OK (9s)
[117/336] Q-BSP-004 | deepseek-pro | rep 3/3 OK (9s)
[118/336] Q-BSP-004 | deepseek-flash | rep 1/3 OK (3s)
[119/336] Q-BSP-004 | deepseek-flash | rep 2/3 OK (3s)
[120/336] Q-BSP-004 | deepseek-flash | rep 3/3 OK (4s)
[121/336] Q-BSP-005 | deepseek-pro | rep 1/3 OK (22s)
[122/336] Q-BSP-005 | deepseek-pro | rep 2/3 OK (21s)
[123/336] Q-BSP-005 | deepseek-pro | rep 3/3 OK (42s)
[124/336] Q-BSP-005 | deepseek-flash | rep 1/3 OK (3s)
[125/336] Q-BSP-005 | deepseek-flash | rep 2/3 OK (3s)
[126/336] Q-BSP-005 | deepseek-flash | rep 3/3 OK (2s)
[127/336] Q-BSP-033 | deepseek-pro | rep 1/3 OK (8s)
[128/336] Q-BSP-033 | deepseek-pro | rep 2/3 OK (9s)
[129/336] Q-BSP-033 | deepseek-pro | rep 3/3 OK (9s)
[130/336] Q-BSP-033 | deepseek-flash | rep 1/3 OK (2s)
[131/336] Q-BSP-033 | deepseek-flash | rep 2/3 OK (2s)
[132/336] Q-BSP-033 | deepseek-flash | rep 3/3 OK (2s)
[133/336] Q-BSP-034 | deepseek-pro | rep 1/3 OK (12s)
[134/336] Q-BSP-034 | deepseek-pro | rep 2/3 OK (17s)
[135/336] Q-BSP-034 | deepseek-pro | rep 3/3 OK (7s)
[136/336] Q-BSP-034 | deepseek-flash | rep 1/3 OK (3s)
[137/336] Q-BSP-034 | deepseek-flash | rep 2/3 OK (3s)
[138/336] Q-BSP-034 | deepseek-flash | rep 3/3 OK (4s)
[139/336] Q-BSP-035 | deepseek-pro | rep 1/3 OK (14s)
[140/336] Q-BSP-035 | deepseek-pro | rep 2/3 OK (17s)
[141/336] Q-BSP-035 | deepseek-pro | rep 3/3 OK (31s)
[142/336] Q-BSP-035 | deepseek-flash | rep 1/3 OK (2s)
[143/336] Q-BSP-035 | deepseek-flash | rep 2/3 OK (3s)
[144/336] Q-BSP-035 | deepseek-flash | rep 3/3 OK (2s)
[146/336] Q-BSP-036 | deepseek-pro | rep 2/3 OK (7s)
[147/336] Q-BSP-036 | deepseek-pro | rep 3/3 OK (6s)
[148/336] Q-BSP-036 | deepseek-flash | rep 1/3 OK (1s)
[149/336] Q-BSP-036 | deepseek-flash | rep 2/3 OK (2s)
Q-BSP-036 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[150/336] Q-BSP-037 | deepseek-pro | rep 1/3 OK (11s)
[151/336] Q-BSP-037 | deepseek-pro | rep 2/3 OK (8s)
[152/336] Q-BSP-037 | deepseek-pro | rep 3/3 OK (12s)
[153/336] Q-BSP-037 | deepseek-flash | rep 1/3 OK (2s)
[154/336] Q-BSP-037 | deepseek-flash | rep 2/3 OK (2s)
[155/336] Q-BSP-037 | deepseek-flash | rep 3/3 OK (3s)
[156/336] Q-BSP-046 | deepseek-pro | rep 1/3 OK (7s)
[157/336] Q-BSP-046 | deepseek-pro | rep 2/3 OK (6s)
[158/336] Q-BSP-046 | deepseek-pro | rep 3/3 OK (6s)
[159/336] Q-BSP-046 | deepseek-flash | rep 1/3 OK (3s)
[160/336] Q-BSP-046 | deepseek-flash | rep 2/3 OK (2s)
[161/336] Q-BSP-046 | deepseek-flash | rep 3/3 OK (5s)
[162/336] Q-BSP-047 | deepseek-pro | rep 1/3 OK (8s)
[163/336] Q-BSP-047 | deepseek-pro | rep 2/3 OK (7s)
[164/336] Q-BSP-047 | deepseek-pro | rep 3/3 OK (6s)
[165/336] Q-BSP-047 | deepseek-flash | rep 1/3 OK (3s)
[166/336] Q-BSP-047 | deepseek-flash | rep 2/3 OK (4s)
Q-BSP-047 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[167/336] Q-BSP-048 | deepseek-pro | rep 1/3 OK (9s)
[168/336] Q-BSP-048 | deepseek-pro | rep 2/3 OK (16s)
[169/336] Q-BSP-048 | deepseek-pro | rep 3/3 OK (6s)
[170/336] Q-BSP-048 | deepseek-flash | rep 1/3 OK (4s)
[171/336] Q-BSP-048 | deepseek-flash | rep 2/3 OK (3s)
Q-BSP-048 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[172/336] Q-BSP-049 | deepseek-pro | rep 1/3 OK (10s)
[173/336] Q-BSP-049 | deepseek-pro | rep 2/3 OK (8s)
Q-BSP-049 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[174/336] Q-BSP-049 | deepseek-flash | rep 1/3 OK (4s)
[175/336] Q-BSP-049 | deepseek-flash | rep 2/3 OK (5s)
Q-BSP-049 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[176/336] Q-BSP-050 | deepseek-pro | rep 1/3 OK (9s)
[177/336] Q-BSP-050 | deepseek-pro | rep 2/3 OK (8s)
[178/336] Q-BSP-050 | deepseek-pro | rep 3/3 OK (12s)
[179/336] Q-BSP-050 | deepseek-flash | rep 1/3 OK (2s)
[181/336] Q-BSP-050 | deepseek-flash | rep 3/3 OK (2s)
[182/336] Q-BSP-055 | deepseek-pro | rep 1/3 OK (4s)
[183/336] Q-BSP-055 | deepseek-pro | rep 2/3 OK (13s)
[184/336] Q-BSP-055 | deepseek-pro | rep 3/3 OK (9s)
[185/336] Q-BSP-055 | deepseek-flash | rep 1/3 OK (2s)
[186/336] Q-BSP-055 | deepseek-flash | rep 2/3 OK (2s)
Q-BSP-055 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[187/336] Q-BSP-056 | deepseek-pro | rep 1/3 OK (12s)
[188/336] Q-BSP-056 | deepseek-pro | rep 2/3 OK (11s)
[189/336] Q-BSP-056 | deepseek-pro | rep 3/3 OK (15s)
[190/336] Q-BSP-056 | deepseek-flash | rep 1/3 OK (3s)
[191/336] Q-BSP-056 | deepseek-flash | rep 2/3 OK (4s)
[192/336] Q-BSP-056 | deepseek-flash | rep 3/3 OK (3s)
[193/336] Q-BSP-057 | deepseek-pro | rep 1/3 OK (4s)
[194/336] Q-BSP-057 | deepseek-pro | rep 2/3 OK (7s)
Q-BSP-057 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[195/336] Q-BSP-057 | deepseek-flash | rep 1/3 OK (2s)
[196/336] Q-BSP-057 | deepseek-flash | rep 2/3 OK (3s)
[197/336] Q-BSP-057 | deepseek-flash | rep 3/3 OK (2s)
[198/336] Q-BSP-058 | deepseek-pro | rep 1/3 OK (8s)
[199/336] Q-BSP-058 | deepseek-pro | rep 2/3 OK (8s)
Q-BSP-058 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[200/336] Q-BSP-058 | deepseek-flash | rep 1/3 OK (2s)
[201/336] Q-BSP-058 | deepseek-flash | rep 2/3 OK (2s)
Q-BSP-058 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[202/336] Q-BSP-059 | deepseek-pro | rep 1/3 OK (13s)
[203/336] Q-BSP-059 | deepseek-pro | rep 2/3 OK (9s)
[204/336] Q-BSP-059 | deepseek-pro | rep 3/3 OK (12s)
[205/336] Q-BSP-059 | deepseek-flash | rep 1/3 OK (3s)
[206/336] Q-BSP-059 | deepseek-flash | rep 2/3 OK (3s)
Q-BSP-059 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[207/336] Q-BSP-064 | deepseek-pro | rep 1/3 OK (18s)
[208/336] Q-BSP-064 | deepseek-pro | rep 2/3 OK (9s)
[209/336] Q-BSP-064 | deepseek-pro | rep 3/3 OK (11s)
[210/336] Q-BSP-064 | deepseek-flash | rep 1/3 OK (4s)
[211/336] Q-BSP-064 | deepseek-flash | rep 2/3 OK (5s)
Q-BSP-064 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[212/336] Q-BSP-065 | deepseek-pro | rep 1/3 OK (8s)
[213/336] Q-BSP-065 | deepseek-pro | rep 2/3 OK (15s)
[214/336] Q-BSP-065 | deepseek-pro | rep 3/3 OK (5s)[218/336] Q-BSP-066 | deepseek-pro | rep 2/3 ERROR: DeepSeek сетевая ошибка: HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /chat/co
[227/336] Q-BSP-067 | deepseek-flash | rep 3/3 ERROR: DeepSeek сетевая ошибка: HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /chat/co

[215/336] Q-BSP-065 | deepseek-flash | rep 1/3 OK (2s)
[216/336] Q-BSP-065 | deepseek-flash | rep 2/3 OK (2s)
Q-BSP-065 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[217/336] Q-BSP-066 | deepseek-pro | rep 1/3 OK (10s)
[219/336] Q-BSP-066 | deepseek-pro | rep 3/3 OK (11s)
[220/336] Q-BSP-066 | deepseek-flash | rep 1/3 OK (3s)
[221/336] Q-BSP-066 | deepseek-flash | rep 2/3 OK (3s)
Q-BSP-066 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[222/336] Q-BSP-067 | deepseek-pro | rep 1/3 OK (11s)
[223/336] Q-BSP-067 | deepseek-pro | rep 2/3 OK (8s)
[224/336] Q-BSP-067 | deepseek-pro | rep 3/3 OK (17s)
[225/336] Q-BSP-067 | deepseek-flash | rep 1/3 OK (3s)
[226/336] Q-BSP-067 | deepseek-flash | rep 2/3 OK (2s)
[228/336] Q-BSP-068 | deepseek-pro | rep 1/3 OK (13s)
[229/336] Q-BSP-068 | deepseek-pro | rep 2/3 OK (7s)
[230/336] Q-BSP-068 | deepseek-pro | rep 3/3 OK (9s)
[231/336] Q-BSP-068 | deepseek-flash | rep 1/3 OK (6s)
[232/336] Q-BSP-068 | deepseek-flash | rep 2/3 OK (4s)
[233/336] Q-BSP-068 | deepseek-flash | rep 3/3 OK (3s)
[234/336] Q-BSP-093 | deepseek-pro | rep 1/3 OK (8s)
[235/336] Q-BSP-093 | deepseek-pro | rep 2/3 OK (9s)
[236/336] Q-BSP-093 | deepseek-pro | rep 3/3 OK (8s)
[237/336] Q-BSP-093 | deepseek-flash | rep 1/3 OK (4s)
[238/336] Q-BSP-093 | deepseek-flash | rep 2/3 OK (6s)
Q-BSP-093 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[239/336] Q-BSP-094 | deepseek-pro | rep 1/3 OK (10s)
[240/336] Q-BSP-094 | deepseek-pro | rep 2/3 OK (9s)
[241/336] Q-BSP-094 | deepseek-pro | rep 3/3 OK (10s)
[242/336] Q-BSP-094 | deepseek-flash | rep 1/3 OK (5s)
[243/336] Q-BSP-094 | deepseek-flash | rep 2/3 OK (6s)
[244/336] Q-BSP-094 | deepseek-flash | rep 3/3 OK (5s)
[245/336] Q-BSP-095 | deepseek-pro | rep 1/3 OK (10s)
[246/336] Q-BSP-095 | deepseek-pro | rep 2/3 OK (5s)
[247/336] Q-BSP-095 | deepseek-pro | rep 3/3 OK (7s)
[248/336] Q-BSP-095 | deepseek-flash | rep 1/3 OK (2s)
[249/336] Q-BSP-095 | deepseek-flash | rep 2/3 OK (2s)
Q-BSP-095 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[250/336] Q-BSP-096 | deepseek-pro | rep 1/3 OK (7s)
[251/336] Q-BSP-096 | deepseek-pro | rep 2/3 OK (3s)
Q-BSP-096 | deepseek-pro | rep 3/3 SKIP (первые два ответа семантически совпали)
[252/336] Q-BSP-096 | deepseek-flash | rep 1/3 OK (4s)
[253/336] Q-BSP-096 | deepseek-flash | rep 2/3 OK (4s)
[254/336] Q-BSP-096 | deepseek-flash | rep 3/3 OK (3s)
[255/336] Q-BSP-097 | deepseek-pro | rep 1/3 OK (12s)
[256/336] Q-BSP-097 | deepseek-pro | rep 2/3 OK (8s)
[257/336] Q-BSP-097 | deepseek-pro | rep 3/3 OK (8s)
[258/336] Q-BSP-097 | deepseek-flash | rep 1/3 OK (3s)
[259/336] Q-BSP-097 | deepseek-flash | rep 2/3 OK (3s)
Q-BSP-097 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[260/336] Q-BSP-102 | deepseek-pro | rep 1/3 OK (12s)
[261/336] Q-BSP-102 | deepseek-pro | rep 2/3 OK (5s)
[262/336] Q-BSP-102 | deepseek-pro | rep 3/3 OK (5s)
[263/336] Q-BSP-102 | deepseek-flash | rep 1/3 OK (2s)
[264/336] Q-BSP-102 | deepseek-flash | rep 2/3 OK (2s)
Q-BSP-102 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)
[265/336] Q-BSP-103 | deepseek-pro | rep 1/3 OK (12s)
[266/336] Q-BSP-103 | deepseek-pro | rep 2/3 OK (11s)
[267/336] Q-BSP-103 | deepseek-pro | rep 3/3 OK (6s)
[268/336] Q-BSP-103 | deepseek-flash | rep 1/3 OK (3s)
[269/336] Q-BSP-103 | deepseek-flash | rep 2/3 OK (3s)
[270/336] Q-BSP-103 | deepseek-flash | rep 3/3 OK (2s)
[271/336] Q-BSP-104 | deepseek-pro | rep 1/3 OK (14s)
[272/336] Q-BSP-104 | deepseek-pro | rep 2/3 OK (6s)
[273/336] Q-BSP-104 | deepseek-pro | rep 3/3 OK (9s)
[274/336] Q-BSP-104 | deepseek-flash | rep 1/3 OK (3s)
[275/336] Q-BSP-104 | deepseek-flash | rep 2/3 OK (8s)
[276/336] Q-BSP-104 | deepseek-flash | rep 3/3 OK (4s)
[277/336] Q-BSP-105 | deepseek-pro | rep 1/3 OK (7s)
[278/336] Q-BSP-105 | deepseek-pro | rep 2/3 OK (6s)
[279/336] Q-BSP-105 | deepseek-pro | rep 3/3 OK (5s)
[280/336] Q-BSP-105 | deepseek-flash | rep 1/3 OK (2s)
[281/336] Q-BSP-105 | deepseek-flash | rep 2/3 OK (2s)
[282/336] Q-BSP-105 | deepseek-flash | rep 3/3 OK (2s)
[283/336] Q-BSP-106 | deepseek-pro | rep 1/3 OK (13s)
[284/336] Q-BSP-106 | deepseek-pro | rep 2/3 OK (8s)
[285/336] Q-BSP-106 | deepseek-pro | rep 3/3 OK (13s)
[286/336] Q-BSP-106 | deepseek-flash | rep 1/3 OK (4s)
[287/336] Q-BSP-106 | deepseek-flash | rep 2/3 OK (4s)
Q-BSP-106 | deepseek-flash | rep 3/3 SKIP (первые два ответа семантически совпали)

Готово. Выполнено: 287 | успешно: 283 | ошибок: 4 | сэкономлено повторов (адаптивно): 49
