[32/336] Q-BSL-034 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[16/336] Q-BSL-016 | gpt-5.4-mini | rep 2/3 OK (97s)
Q-BSL-016 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[17/336] Q-BSL-021 | gpt-5.5 | rep 1/3 OK (30s)
[18/336] Q-BSL-021 | gpt-5.5 | rep 2/3 OK (43s)
Q-BSL-021 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[19/336] Q-BSL-021 | gpt-5.4-mini | rep 1/3 OK (95s)
[20/336] Q-BSL-021 | gpt-5.4-mini | rep 2/3 OK (77s)
[21/336] Q-BSL-021 | gpt-5.4-mini | rep 3/3 OK (70s)
[22/336] Q-BSL-022 | gpt-5.5 | rep 1/3 OK (27s)
[23/336] Q-BSL-022 | gpt-5.5 | rep 2/3 OK (40s)
Q-BSL-022 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[24/336] Q-BSL-022 | gpt-5.4-mini | rep 1/3 OK (71s)
[25/336] Q-BSL-022 | gpt-5.4-mini | rep 2/3 OK (82s)
Q-BSL-022 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[26/336] Q-BSL-029 | gpt-5.5 | rep 1/3 OK (27s)
[27/336] Q-BSL-029 | gpt-5.5 | rep 2/3 OK (36s)
Q-BSL-029 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[28/336] Q-BSL-029 | gpt-5.4-mini | rep 1/3 OK (58s)
[29/336] Q-BSL-029 | gpt-5.4-mini | rep 2/3 OK (58s)
Q-BSL-029 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[30/336] Q-BSL-034 | gpt-5.5 | rep 1/3 OK (31s)
[31/336] Q-BSL-034 | gpt-5.5 | rep 2/3 OK (41s)
Q-BSL-034 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[33/336] Q-BSL-034 | gpt-5.4-mini | rep 2/3 OK (116s)
[34/336] Q-BSL-034 | gpt-5.4-mini | rep 3/3 OK (105s)
[35/336] Q-BSL-036 | gpt-5.5 | rep 1/3 OK (34s)
[36/336] Q-BSL-036 | gpt-5.5 | rep 2/3 OK (48s)
Q-BSL-036 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[37/336] Q-BSL-036 | gpt-5.4-mini | rep 1/3 OK (49s)
[38/336] Q-BSL-036 | gpt-5.4-mini | rep 2/3 OK (51s)
[39/336] Q-BSL-036 | gpt-5.4-mini | rep 3/3 OK (73s)
[40/336] Q-BSL-039 | gpt-5.5 | rep 1/3 OK (38s)
[41/336] Q-BSL-039 | gpt-5.5 | rep 2/3 OK (37s)
[42/336] Q-BSL-039 | gpt-5.5 | rep 3/3 OK (40s)
[43/336] Q-BSL-039 | gpt-5.4-mini | rep 1/3 OK (90s)
[44/336] Q-BSL-039 | gpt-5.4-mini | rep 2/3 OK (71s)
[45/336] Q-BSL-039 | gpt-5.4-mini | rep 3/3 OK (101s)
[46/336] Q-BSL-044 | gpt-5.5 | rep 1/3 OK (20s)
[47/336] Q-BSL-044 | gpt-5.5 | rep 2/3 OK (19s)
Q-BSL-044 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[48/336] Q-BSL-044 | gpt-5.4-mini | rep 1/3 OK (63s)
[49/336] Q-BSL-044 | gpt-5.4-mini | rep 2/3 OK (19s)
Q-BSL-044 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[50/336] Q-BSL-047 | gpt-5.5 | rep 1/3 OK (27s)
[51/336] Q-BSL-047 | gpt-5.5 | rep 2/3 OK (18s)
Q-BSL-047 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[52/336] Q-BSL-047 | gpt-5.4-mini | rep 1/3 OK (43s)
[53/336] Q-BSL-047 | gpt-5.4-mini | rep 2/3 OK (58s)
Q-BSL-047 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[54/336] Q-BSL-051 | gpt-5.5 | rep 1/3 OK (20s)
[55/336] Q-BSL-051 | gpt-5.5 | rep 2/3 OK (20s)
Q-BSL-051 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[56/336] Q-BSL-051 | gpt-5.4-mini | rep 1/3 OK (56s)
[57/336] Q-BSL-051 | gpt-5.4-mini | rep 2/3 OK (42s)
Q-BSL-051 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[58/336] Q-BSL-055 | gpt-5.5 | rep 1/3 OK (21s)
[59/336] Q-BSL-055 | gpt-5.5 | rep 2/3 OK (22s)
Q-BSL-055 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[60/336] Q-BSL-055 | gpt-5.4-mini | rep 1/3 OK (35s)
[61/336] Q-BSL-055 | gpt-5.4-mini | rep 2/3 OK (21s)
Q-BSL-055 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[62/336] Q-BSL-061 | gpt-5.5 | rep 1/3 OK (28s)
[63/336] Q-BSL-061 | gpt-5.5 | rep 2/3 OK (26s)
Q-BSL-061 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[64/336] Q-BSL-061 | gpt-5.4-mini | rep 1/3 OK (59s)
[65/336] Q-BSL-061 | gpt-5.4-mini | rep 2/3 OK (29s)
Q-BSL-061 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[66/336] Q-BSL-065 | gpt-5.5 | rep 1/3 OK (20s)
[67/336] Q-BSL-065 | gpt-5.5 | rep 2/3 OK (23s)
Q-BSL-065 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[68/336] Q-BSL-065 | gpt-5.4-mini | rep 1/3 OK (66s)
[69/336] Q-BSL-065 | gpt-5.4-mini | rep 2/3 OK (42s)
[70/336] Q-BSL-065 | gpt-5.4-mini | rep 3/3 OK (77s)
[71/336] Q-BSL-072 | gpt-5.5 | rep 1/3 OK (21s)
[72/336] Q-BSL-072 | gpt-5.5 | rep 2/3 OK (18s)
Q-BSL-072 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[73/336] Q-BSL-072 | gpt-5.4-mini | rep 1/3 OK (18s)
[74/336] Q-BSL-072 | gpt-5.4-mini | rep 2/3 OK (25s)
Q-BSL-072 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[75/336] Q-BSL-074 | gpt-5.5 | rep 1/3 OK (29s)
[76/336] Q-BSL-074 | gpt-5.5 | rep 2/3 OK (28s)
Q-BSL-074 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[77/336] Q-BSL-074 | gpt-5.4-mini | rep 1/3 OK (67s)
[78/336] Q-BSL-074 | gpt-5.4-mini | rep 2/3 OK (56s)
Q-BSL-074 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[79/336] Q-BSL-077 | gpt-5.5 | rep 1/3 OK (54s)
[80/336] Q-BSL-077 | gpt-5.5 | rep 2/3 OK (181s)
Q-BSL-077 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[84/336] Q-BSL-083 | gpt-5.5 | rep 1/3 OK (32s)
[85/336] Q-BSL-083 | gpt-5.5 | rep 2/3 OK (42s)
Q-BSL-083 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[86/336] Q-BSL-083 | gpt-5.4-mini | rep 1/3 OK (46s)
[87/336] Q-BSL-083 | gpt-5.4-mini | rep 2/3 OK (180s)
Q-BSL-083 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)[88/336] Q-BSL-086 | gpt-5.5 | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.5
[91/336] Q-BSL-086 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[106/336] Q-BSP-003 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[107/336] Q-BSP-003 | gpt-5.4-mini | rep 2/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[111/336] Q-BSP-004 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[113/336] Q-BSP-004 | gpt-5.4-mini | rep 3/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[117/336] Q-BSP-005 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[124/336] Q-BSP-033 | gpt-5.4-mini | rep 2/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[125/336] Q-BSP-033 | gpt-5.4-mini | rep 3/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[132/336] Q-BSP-035 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[147/336] Q-BSP-046 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[163/336] Q-BSP-049 | gpt-5.4-mini | rep 3/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[166/336] Q-BSP-050 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[168/336] Q-BSP-050 | gpt-5.4-mini | rep 3/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[169/336] Q-BSP-055 | gpt-5.5 | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.5
[170/336] Q-BSP-055 | gpt-5.5 | rep 2/3 ERROR: codex exec таймаут (120s), модель gpt-5.5
[172/336] Q-BSP-055 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[173/336] Q-BSP-055 | gpt-5.4-mini | rep 2/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[191/336] Q-BSP-059 | gpt-5.4-mini | rep 2/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[196/336] Q-BSP-064 | gpt-5.4-mini | rep 2/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini

[89/336] Q-BSL-086 | gpt-5.5 | rep 2/3 OK (62s)
[90/336] Q-BSL-086 | gpt-5.5 | rep 3/3 OK (115s)
[92/336] Q-BSL-086 | gpt-5.4-mini | rep 2/3 OK (92s)
[93/336] Q-BSL-086 | gpt-5.4-mini | rep 3/3 OK (233s)
[94/336] Q-BSP-001 | gpt-5.5 | rep 1/3 OK (33s)
[95/336] Q-BSP-001 | gpt-5.5 | rep 2/3 OK (18s)
Q-BSP-001 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[96/336] Q-BSP-001 | gpt-5.4-mini | rep 1/3 OK (225s)
[97/336] Q-BSP-001 | gpt-5.4-mini | rep 2/3 OK (85s)
[98/336] Q-BSP-001 | gpt-5.4-mini | rep 3/3 OK (61s)
[99/336] Q-BSP-002 | gpt-5.5 | rep 1/3 OK (31s)
[100/336] Q-BSP-002 | gpt-5.5 | rep 2/3 OK (27s)
Q-BSP-002 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[101/336] Q-BSP-002 | gpt-5.4-mini | rep 1/3 OK (55s)
[102/336] Q-BSP-002 | gpt-5.4-mini | rep 2/3 OK (66s)
Q-BSP-002 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[103/336] Q-BSP-003 | gpt-5.5 | rep 1/3 OK (79s)
[104/336] Q-BSP-003 | gpt-5.5 | rep 2/3 OK (86s)
[105/336] Q-BSP-003 | gpt-5.5 | rep 3/3 OK (77s)
[108/336] Q-BSP-003 | gpt-5.4-mini | rep 3/3 OK (92s)
[109/336] Q-BSP-004 | gpt-5.5 | rep 1/3 OK (215s)
[110/336] Q-BSP-004 | gpt-5.5 | rep 2/3 OK (48s)
Q-BSP-004 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[112/336] Q-BSP-004 | gpt-5.4-mini | rep 2/3 OK (108s)
[114/336] Q-BSP-005 | gpt-5.5 | rep 1/3 OK (42s)
[115/336] Q-BSP-005 | gpt-5.5 | rep 2/3 OK (152s)
[116/336] Q-BSP-005 | gpt-5.5 | rep 3/3 OK (35s)
[118/336] Q-BSP-005 | gpt-5.4-mini | rep 2/3 OK (100s)
[119/336] Q-BSP-005 | gpt-5.4-mini | rep 3/3 OK (221s)
[120/336] Q-BSP-033 | gpt-5.5 | rep 1/3 OK (48s)
[121/336] Q-BSP-033 | gpt-5.5 | rep 2/3 OK (47s)
[122/336] Q-BSP-033 | gpt-5.5 | rep 3/3 OK (60s)
[123/336] Q-BSP-033 | gpt-5.4-mini | rep 1/3 OK (236s)
[126/336] Q-BSP-034 | gpt-5.5 | rep 1/3 OK (151s)
[127/336] Q-BSP-034 | gpt-5.5 | rep 2/3 OK (29s)
Q-BSP-034 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[128/336] Q-BSP-034 | gpt-5.4-mini | rep 1/3 OK (74s)
[129/336] Q-BSP-034 | gpt-5.4-mini | rep 2/3 OK (52s)
Q-BSP-034 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[130/336] Q-BSP-035 | gpt-5.5 | rep 1/3 OK (29s)
[131/336] Q-BSP-035 | gpt-5.5 | rep 2/3 OK (35s)
Q-BSP-035 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[133/336] Q-BSP-035 | gpt-5.4-mini | rep 2/3 OK (112s)
[134/336] Q-BSP-035 | gpt-5.4-mini | rep 3/3 OK (110s)
[135/336] Q-BSP-036 | gpt-5.5 | rep 1/3 OK (39s)
[136/336] Q-BSP-036 | gpt-5.5 | rep 2/3 OK (60s)
Q-BSP-036 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[137/336] Q-BSP-036 | gpt-5.4-mini | rep 1/3 OK (71s)
[138/336] Q-BSP-036 | gpt-5.4-mini | rep 2/3 OK (71s)
[139/336] Q-BSP-036 | gpt-5.4-mini | rep 3/3 OK (64s)
[140/336] Q-BSP-037 | gpt-5.5 | rep 1/3 OK (39s)
[141/336] Q-BSP-037 | gpt-5.5 | rep 2/3 OK (67s)
[142/336] Q-BSP-037 | gpt-5.5 | rep 3/3 OK (50s)
[143/336] Q-BSP-037 | gpt-5.4-mini | rep 1/3 OK (80s)
[144/336] Q-BSP-037 | gpt-5.4-mini | rep 2/3 OK (95s)
Q-BSP-037 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[145/336] Q-BSP-046 | gpt-5.5 | rep 1/3 OK (25s)
[146/336] Q-BSP-046 | gpt-5.5 | rep 2/3 OK (55s)
Q-BSP-046 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[148/336] Q-BSP-046 | gpt-5.4-mini | rep 2/3 OK (106s)
[149/336] Q-BSP-046 | gpt-5.4-mini | rep 3/3 OK (88s)
[150/336] Q-BSP-047 | gpt-5.5 | rep 1/3 OK (49s)
[151/336] Q-BSP-047 | gpt-5.5 | rep 2/3 OK (27s)
Q-BSP-047 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[152/336] Q-BSP-047 | gpt-5.4-mini | rep 1/3 OK (59s)
[153/336] Q-BSP-047 | gpt-5.4-mini | rep 2/3 OK (43s)
[154/336] Q-BSP-047 | gpt-5.4-mini | rep 3/3 OK (61s)
[155/336] Q-BSP-048 | gpt-5.5 | rep 1/3 OK (50s)
[156/336] Q-BSP-048 | gpt-5.5 | rep 2/3 OK (55s)
Q-BSP-048 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[157/336] Q-BSP-048 | gpt-5.4-mini | rep 1/3 OK (116s)
[158/336] Q-BSP-048 | gpt-5.4-mini | rep 2/3 OK (84s)
Q-BSP-048 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[159/336] Q-BSP-049 | gpt-5.5 | rep 1/3 OK (38s)
[160/336] Q-BSP-049 | gpt-5.5 | rep 2/3 OK (36s)
Q-BSP-049 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[161/336] Q-BSP-049 | gpt-5.4-mini | rep 1/3 OK (115s)
[162/336] Q-BSP-049 | gpt-5.4-mini | rep 2/3 OK (227s)
[164/336] Q-BSP-050 | gpt-5.5 | rep 1/3 OK (46s)
[165/336] Q-BSP-050 | gpt-5.5 | rep 2/3 OK (54s)
Q-BSP-050 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[167/336] Q-BSP-050 | gpt-5.4-mini | rep 2/3 OK (117s)
[171/336] Q-BSP-055 | gpt-5.5 | rep 3/3 OK (61s)
[174/336] Q-BSP-055 | gpt-5.4-mini | rep 3/3 OK (237s)
[175/336] Q-BSP-056 | gpt-5.5 | rep 1/3 OK (72s)
[176/336] Q-BSP-056 | gpt-5.5 | rep 2/3 OK (57s)
Q-BSP-056 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[177/336] Q-BSP-056 | gpt-5.4-mini | rep 1/3 OK (118s)
[178/336] Q-BSP-056 | gpt-5.4-mini | rep 2/3 OK (213s)
Q-BSP-056 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[179/336] Q-BSP-057 | gpt-5.5 | rep 1/3 OK (24s)
[180/336] Q-BSP-057 | gpt-5.5 | rep 2/3 OK (37s)
Q-BSP-057 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[181/336] Q-BSP-057 | gpt-5.4-mini | rep 1/3 OK (106s)
[182/336] Q-BSP-057 | gpt-5.4-mini | rep 2/3 OK (87s)
[183/336] Q-BSP-057 | gpt-5.4-mini | rep 3/3 OK (84s)
[184/336] Q-BSP-058 | gpt-5.5 | rep 1/3 OK (34s)
[185/336] Q-BSP-058 | gpt-5.5 | rep 2/3 OK (30s)
Q-BSP-058 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[186/336] Q-BSP-058 | gpt-5.4-mini | rep 1/3 OK (92s)
[187/336] Q-BSP-058 | gpt-5.4-mini | rep 2/3 OK (58s)
Q-BSP-058 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[188/336] Q-BSP-059 | gpt-5.5 | rep 1/3 OK (58s)
[189/336] Q-BSP-059 | gpt-5.5 | rep 2/3 OK (105s)
Q-BSP-059 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[190/336] Q-BSP-059 | gpt-5.4-mini | rep 1/3 OK (120s)
[192/336] Q-BSP-059 | gpt-5.4-mini | rep 3/3 OK (86s)
[193/336] Q-BSP-064 | gpt-5.5 | rep 1/3 OK (40s)
[194/336] Q-BSP-064 | gpt-5.5 | rep 2/3 OK (39s)
Q-BSP-064 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[195/336] Q-BSP-064 | gpt-5.4-mini | rep 1/3 OK (236s)
[197/336] Q-BSP-064 | gpt-5.4-mini | rep 3/3 OK (84s)
[198/336] Q-BSP-065 | gpt-5.5 | rep 1/3 OK (42s)
[199/336] Q-BSP-065 | gpt-5.5 | rep 2/3 OK (48s)
Q-BSP-065 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[200/336] Q-BSP-065 | gpt-5.4-mini | rep 1/3 OK (203s)
[201/336] Q-BSP-065 | gpt-5.4-mini | rep 2/3 OK (72s)
Q-BSP-065 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[202/336] Q-BSP-066 | gpt-5.5 | rep 1/3 OK (25s)
[203/336] Q-BSP-066 | gpt-5.5 | rep 2/3 OK (59s)
[204/336] Q-BSP-066 | gpt-5.5 | rep 3/3 OK (71s)
[205/336] Q-BSP-066 | gpt-5.4-mini | rep 1/3 OK (116s)
[206/336] Q-BSP-066 | gpt-5.4-mini | rep 2/3 OK (108s)
Q-BSP-066 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[207/336] Q-BSP-067 | gpt-5.5 | rep 1/3 OK (44s)
[208/336] Q-BSP-067 | gpt-5.5 | rep 2/3 OK (60s)
Q-BSP-067 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[209/336] Q-BSP-067 | gpt-5.4-mini | rep 1/3 OK (101s)
[210/336] Q-BSP-067 | gpt-5.4-mini | rep 2/3 OK (85s)[220/336] Q-BSP-093 | gpt-5.4-mini | rep 2/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[227/336] Q-BSP-094 | gpt-5.4-mini | rep 3/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[258/336] Q-BSP-104 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[263/336] Q-BSP-105 | gpt-5.4-mini | rep 1/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[264/336] Q-BSP-105 | gpt-5.4-mini | rep 2/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini
[265/336] Q-BSP-105 | gpt-5.4-mini | rep 3/3 ERROR: codex exec таймаут (120s), модель gpt-5.4-mini

[211/336] Q-BSP-067 | gpt-5.4-mini | rep 3/3 OK (119s)
[212/336] Q-BSP-068 | gpt-5.5 | rep 1/3 OK (57s)
[213/336] Q-BSP-068 | gpt-5.5 | rep 2/3 OK (59s)
[214/336] Q-BSP-068 | gpt-5.5 | rep 3/3 OK (35s)
[215/336] Q-BSP-068 | gpt-5.4-mini | rep 1/3 OK (83s)
[216/336] Q-BSP-068 | gpt-5.4-mini | rep 2/3 OK (59s)
Q-BSP-068 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[217/336] Q-BSP-093 | gpt-5.5 | rep 1/3 OK (56s)
[218/336] Q-BSP-093 | gpt-5.5 | rep 2/3 OK (42s)
Q-BSP-093 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[219/336] Q-BSP-093 | gpt-5.4-mini | rep 1/3 OK (239s)
[221/336] Q-BSP-093 | gpt-5.4-mini | rep 3/3 OK (104s)
[222/336] Q-BSP-094 | gpt-5.5 | rep 1/3 OK (82s)
[223/336] Q-BSP-094 | gpt-5.5 | rep 2/3 OK (68s)
[224/336] Q-BSP-094 | gpt-5.5 | rep 3/3 OK (70s)
[225/336] Q-BSP-094 | gpt-5.4-mini | rep 1/3 OK (99s)
[226/336] Q-BSP-094 | gpt-5.4-mini | rep 2/3 OK (97s)
[228/336] Q-BSP-095 | gpt-5.5 | rep 1/3 OK (92s)
[229/336] Q-BSP-095 | gpt-5.5 | rep 2/3 OK (72s)
Q-BSP-095 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[230/336] Q-BSP-095 | gpt-5.4-mini | rep 1/3 OK (78s)
[231/336] Q-BSP-095 | gpt-5.4-mini | rep 2/3 OK (79s)
[232/336] Q-BSP-095 | gpt-5.4-mini | rep 3/3 OK (91s)
[233/336] Q-BSP-096 | gpt-5.5 | rep 1/3 OK (55s)
[234/336] Q-BSP-096 | gpt-5.5 | rep 2/3 OK (63s)
[235/336] Q-BSP-096 | gpt-5.5 | rep 3/3 OK (57s)
[236/336] Q-BSP-096 | gpt-5.4-mini | rep 1/3 OK (95s)
[237/336] Q-BSP-096 | gpt-5.4-mini | rep 2/3 OK (205s)
[238/336] Q-BSP-096 | gpt-5.4-mini | rep 3/3 OK (83s)
[239/336] Q-BSP-097 | gpt-5.5 | rep 1/3 OK (78s)
[240/336] Q-BSP-097 | gpt-5.5 | rep 2/3 OK (22s)
Q-BSP-097 | gpt-5.5 | rep 3/3 SKIP (первые два ответа семантически совпали)
[241/336] Q-BSP-097 | gpt-5.4-mini | rep 1/3 OK (101s)
[242/336] Q-BSP-097 | gpt-5.4-mini | rep 2/3 OK (89s)
[243/336] Q-BSP-097 | gpt-5.4-mini | rep 3/3 OK (98s)
[244/336] Q-BSP-102 | gpt-5.5 | rep 1/3 OK (59s)
[245/336] Q-BSP-102 | gpt-5.5 | rep 2/3 OK (40s)
[246/336] Q-BSP-102 | gpt-5.5 | rep 3/3 OK (38s)
[247/336] Q-BSP-102 | gpt-5.4-mini | rep 1/3 OK (64s)
[248/336] Q-BSP-102 | gpt-5.4-mini | rep 2/3 OK (216s)
[249/336] Q-BSP-102 | gpt-5.4-mini | rep 3/3 OK (204s)
[250/336] Q-BSP-103 | gpt-5.5 | rep 1/3 OK (194s)
[251/336] Q-BSP-103 | gpt-5.5 | rep 2/3 OK (39s)
[252/336] Q-BSP-103 | gpt-5.5 | rep 3/3 OK (66s)
[253/336] Q-BSP-103 | gpt-5.4-mini | rep 1/3 OK (103s)
[254/336] Q-BSP-103 | gpt-5.4-mini | rep 2/3 OK (80s)
Q-BSP-103 | gpt-5.4-mini | rep 3/3 SKIP (первые два ответа семантически совпали)
[255/336] Q-BSP-104 | gpt-5.5 | rep 1/3 OK (68s)
[256/336] Q-BSP-104 | gpt-5.5 | rep 2/3 OK (55s)
[257/336] Q-BSP-104 | gpt-5.5 | rep 3/3 OK (67s)
