[57/504] Q-BSL-034 | opus | rep 2/3 ERROR: claude CLI таймаут (120s), модель opus
[105/504] Q-BSL-055 | sonnet | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[106/504] Q-BSL-055 | sonnet | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[107/504] Q-BSL-055 | sonnet | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[108/504] Q-BSL-055 | opus | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[109/504] Q-BSL-055 | opus | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[110/504] Q-BSL-055 | opus | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[111/504] Q-BSL-061 | haiku | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[112/504] Q-BSL-061 | haiku | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[113/504] Q-BSL-061 | haiku | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[114/504] Q-BSL-061 | sonnet | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[115/504] Q-BSL-061 | sonnet | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[116/504] Q-BSL-061 | sonnet | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[117/504] Q-BSL-061 | opus | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[118/504] Q-BSL-061 | opus | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[119/504] Q-BSL-061 | opus | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[120/504] Q-BSL-065 | haiku | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[121/504] Q-BSL-065 | haiku | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[122/504] Q-BSL-065 | haiku | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[123/504] Q-BSL-065 | sonnet | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[124/504] Q-BSL-065 | sonnet | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[125/504] Q-BSL-065 | sonnet | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[126/504] Q-BSL-065 | opus | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[127/504] Q-BSL-065 | opus | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[128/504] Q-BSL-065 | opus | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[129/504] Q-BSL-072 | haiku | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[130/504] Q-BSL-072 | haiku | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[131/504] Q-BSL-072 | haiku | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[132/504] Q-BSL-072 | sonnet | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[133/504] Q-BSL-072 | sonnet | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[134/504] Q-BSL-072 | sonnet | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[135/504] Q-BSL-072 | opus | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[136/504] Q-BSL-072 | opus | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[137/504] Q-BSL-072 | opus | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[138/504] Q-BSL-074 | haiku | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[139/504] Q-BSL-074 | haiku | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[140/504] Q-BSL-074 | haiku | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[141/504] Q-BSL-074 | sonnet | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[142/504] Q-BSL-074 | sonnet | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[143/504] Q-BSL-074 | sonnet | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[144/504] Q-BSL-074 | opus | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[145/504] Q-BSL-074 | opus | rep 2/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[146/504] Q-BSL-074 | opus | rep 3/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
[147/504] Q-BSL-077 | haiku | rep 1/3 ERROR: claude CLI rc=1: You've hit your session limit · resets 10pm (UTC)
Файлов вопросов: 2 | вопросов: 56 | моделей: 3 | повторов: до 3 (адаптивно)
Всего ячеек: 504 | к выполнению: до 504 | пропуск (resume): 0
Модели: haiku, sonnet, opus
Результаты: results/t1-claude/answers.jsonl
[1/504] Q-BSL-001 | haiku | rep 1/3 OK (36s)
[2/504] Q-BSL-001 | haiku | rep 2/3 OK (22s)
Q-BSL-001 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[3/504] Q-BSL-001 | sonnet | rep 1/3 OK (20s)
[4/504] Q-BSL-001 | sonnet | rep 2/3 OK (22s)
Q-BSL-001 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[5/504] Q-BSL-001 | opus | rep 1/3 OK (29s)
[6/504] Q-BSL-001 | opus | rep 2/3 OK (24s)
[7/504] Q-BSL-001 | opus | rep 3/3 OK (20s)
[8/504] Q-BSL-005 | haiku | rep 1/3 OK (16s)
[9/504] Q-BSL-005 | haiku | rep 2/3 OK (14s)
Q-BSL-005 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[10/504] Q-BSL-005 | sonnet | rep 1/3 OK (33s)
[11/504] Q-BSL-005 | sonnet | rep 2/3 OK (40s)
[12/504] Q-BSL-005 | sonnet | rep 3/3 OK (33s)
[13/504] Q-BSL-005 | opus | rep 1/3 OK (31s)
[14/504] Q-BSL-005 | opus | rep 2/3 OK (32s)
[15/504] Q-BSL-005 | opus | rep 3/3 OK (30s)
[16/504] Q-BSL-010 | haiku | rep 1/3 OK (132s)
[17/504] Q-BSL-010 | haiku | rep 2/3 OK (39s)
Q-BSL-010 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[18/504] Q-BSL-010 | sonnet | rep 1/3 OK (33s)
[19/504] Q-BSL-010 | sonnet | rep 2/3 OK (12s)
Q-BSL-010 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[20/504] Q-BSL-010 | opus | rep 1/3 OK (20s)
[21/504] Q-BSL-010 | opus | rep 2/3 OK (19s)
Q-BSL-010 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[22/504] Q-BSL-016 | haiku | rep 1/3 OK (15s)
[23/504] Q-BSL-016 | haiku | rep 2/3 OK (16s)
Q-BSL-016 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[24/504] Q-BSL-016 | sonnet | rep 1/3 OK (18s)
[25/504] Q-BSL-016 | sonnet | rep 2/3 OK (19s)
Q-BSL-016 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[26/504] Q-BSL-016 | opus | rep 1/3 OK (29s)
[27/504] Q-BSL-016 | opus | rep 2/3 OK (27s)
Q-BSL-016 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[28/504] Q-BSL-021 | haiku | rep 1/3 OK (12s)
[29/504] Q-BSL-021 | haiku | rep 2/3 OK (13s)
Q-BSL-021 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[30/504] Q-BSL-021 | sonnet | rep 1/3 OK (29s)
[31/504] Q-BSL-021 | sonnet | rep 2/3 OK (27s)
Q-BSL-021 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[32/504] Q-BSL-021 | opus | rep 1/3 OK (23s)
[33/504] Q-BSL-021 | opus | rep 2/3 OK (23s)
[34/504] Q-BSL-021 | opus | rep 3/3 OK (26s)
[35/504] Q-BSL-022 | haiku | rep 1/3 OK (29s)
[36/504] Q-BSL-022 | haiku | rep 2/3 OK (12s)
[37/504] Q-BSL-022 | haiku | rep 3/3 OK (30s)
[38/504] Q-BSL-022 | sonnet | rep 1/3 OK (23s)
[39/504] Q-BSL-022 | sonnet | rep 2/3 OK (25s)
Q-BSL-022 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[40/504] Q-BSL-022 | opus | rep 1/3 OK (26s)
[41/504] Q-BSL-022 | opus | rep 2/3 OK (27s)
[42/504] Q-BSL-022 | opus | rep 3/3 OK (22s)
[43/504] Q-BSL-029 | haiku | rep 1/3 OK (13s)
[44/504] Q-BSL-029 | haiku | rep 2/3 OK (16s)
[45/504] Q-BSL-029 | haiku | rep 3/3 OK (14s)
[46/504] Q-BSL-029 | sonnet | rep 1/3 OK (17s)
[47/504] Q-BSL-029 | sonnet | rep 2/3 OK (21s)
Q-BSL-029 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[48/504] Q-BSL-029 | opus | rep 1/3 OK (21s)
[49/504] Q-BSL-029 | opus | rep 2/3 OK (21s)
Q-BSL-029 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[50/504] Q-BSL-034 | haiku | rep 1/3 OK (14s)
[51/504] Q-BSL-034 | haiku | rep 2/3 OK (14s)
[52/504] Q-BSL-034 | haiku | rep 3/3 OK (29s)
[53/504] Q-BSL-034 | sonnet | rep 1/3 OK (59s)
[54/504] Q-BSL-034 | sonnet | rep 2/3 OK (77s)
[55/504] Q-BSL-034 | sonnet | rep 3/3 OK (78s)
[56/504] Q-BSL-034 | opus | rep 1/3 OK (103s)
[58/504] Q-BSL-034 | opus | rep 3/3 OK (36s)
[59/504] Q-BSL-036 | haiku | rep 1/3 OK (20s)
[60/504] Q-BSL-036 | haiku | rep 2/3 OK (117s)
[61/504] Q-BSL-036 | haiku | rep 3/3 OK (16s)
[62/504] Q-BSL-036 | sonnet | rep 1/3 OK (10s)
[63/504] Q-BSL-036 | sonnet | rep 2/3 OK (15s)
Q-BSL-036 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[64/504] Q-BSL-036 | opus | rep 1/3 OK (13s)
[65/504] Q-BSL-036 | opus | rep 2/3 OK (14s)
Q-BSL-036 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[66/504] Q-BSL-039 | haiku | rep 1/3 OK (21s)
[148/504] Q-BSL-077 | haiku | rep 2/3 OK (14s)
[149/504] Q-BSL-077 | haiku | rep 3/3 OK (12s)
[150/504] Q-BSL-077 | sonnet | rep 1/3 OK (36s)
[151/504] Q-BSL-077 | sonnet | rep 2/3 OK (40s)
Q-BSL-077 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[152/504] Q-BSL-077 | opus | rep 1/3 OK (24s)
[153/504] Q-BSL-077 | opus | rep 2/3 OK (26s)
[154/504] Q-BSL-077 | opus | rep 3/3 OK (23s)
[155/504] Q-BSL-083 | haiku | rep 1/3 OK (26s)
[156/504] Q-BSL-083 | haiku | rep 2/3 OK (103s)
[157/504] Q-BSL-083 | haiku | rep 3/3 OK (18s)
[158/504] Q-BSL-083 | sonnet | rep 1/3 OK (16s)
[159/504] Q-BSL-083 | sonnet | rep 2/3 OK (24s)
Q-BSL-083 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[160/504] Q-BSL-083 | opus | rep 1/3 OK (22s)
[161/504] Q-BSL-083 | opus | rep 2/3 OK (27s)
Q-BSL-083 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[162/504] Q-BSL-086 | haiku | rep 1/3 OK (37s)
[163/504] Q-BSL-086 | haiku | rep 2/3 OK (146s)
[164/504] Q-BSL-086 | haiku | rep 3/3 OK (29s)
[165/504] Q-BSL-086 | sonnet | rep 1/3 OK (44s)
[166/504] Q-BSL-086 | sonnet | rep 2/3 OK (40s)
[167/504] Q-BSL-086 | sonnet | rep 3/3 OK (35s)
[168/504] Q-BSL-086 | opus | rep 1/3 OK (68s)
[169/504] Q-BSL-086 | opus | rep 2/3 OK (38s)
[170/504] Q-BSL-086 | opus | rep 3/3 OK (39s)
[171/504] Q-BSP-001 | haiku | rep 1/3 OK (72s)
[172/504] Q-BSP-001 | haiku | rep 2/3 OK (64s)
[173/504] Q-BSP-001 | haiku | rep 3/3 OK (21s)
[174/504] Q-BSP-001 | sonnet | rep 1/3 OK (20s)
[175/504] Q-BSP-001 | sonnet | rep 2/3 OK (12s)
[176/504] Q-BSP-001 | sonnet | rep 3/3 OK (13s)
[177/504] Q-BSP-001 | opus | rep 1/3 OK (14s)
[178/504] Q-BSP-001 | opus | rep 2/3 OK (16s)
[179/504] Q-BSP-001 | opus | rep 3/3 OK (14s)
[180/504] Q-BSP-002 | haiku | rep 1/3 OK (21s)
[181/504] Q-BSP-002 | haiku | rep 2/3 OK (63s)
[182/504] Q-BSP-002 | haiku | rep 3/3 OK (13s)
[183/504] Q-BSP-002 | sonnet | rep 1/3 OK (31s)
[184/504] Q-BSP-002 | sonnet | rep 2/3 OK (21s)
[185/504] Q-BSP-002 | sonnet | rep 3/3 OK (17s)
[186/504] Q-BSP-002 | opus | rep 1/3 OK (21s)
[187/504] Q-BSP-002 | opus | rep 2/3 OK (19s)
Q-BSP-002 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[188/504] Q-BSP-003 | haiku | rep 1/3 OK (14s)
[189/504] Q-BSP-003 | haiku | rep 2/3 OK (17s)
[190/504] Q-BSP-003 | haiku | rep 3/3 OK (14s)
[191/504] Q-BSP-003 | sonnet | rep 1/3 OK (15s)
[192/504] Q-BSP-003 | sonnet | rep 2/3 OK (11s)
[193/504] Q-BSP-003 | sonnet | rep 3/3 OK (11s)
[194/504] Q-BSP-003 | opus | rep 1/3 OK (19s)
[195/504] Q-BSP-003 | opus | rep 2/3 OK (16s)
Q-BSP-003 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[196/504] Q-BSP-004 | haiku | rep 1/3 OK (24s)
[197/504] Q-BSP-004 | haiku | rep 2/3 OK (22s)
Q-BSP-004 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[198/504] Q-BSP-004 | sonnet | rep 1/3 OK (31s)
[199/504] Q-BSP-004 | sonnet | rep 2/3 OK (33s)
Q-BSP-004 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)[319/504] Q-BSP-059 | sonnet | rep 3/3 ERROR: claude CLI таймаут (120s), модель sonnet

[200/504] Q-BSP-004 | opus | rep 1/3 OK (41s)
[201/504] Q-BSP-004 | opus | rep 2/3 OK (55s)
[202/504] Q-BSP-004 | opus | rep 3/3 OK (39s)
[203/504] Q-BSP-005 | haiku | rep 1/3 OK (19s)
[204/504] Q-BSP-005 | haiku | rep 2/3 OK (50s)
Q-BSP-005 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[205/504] Q-BSP-005 | sonnet | rep 1/3 OK (32s)
[206/504] Q-BSP-005 | sonnet | rep 2/3 OK (34s)
Q-BSP-005 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[207/504] Q-BSP-005 | opus | rep 1/3 OK (29s)
[208/504] Q-BSP-005 | opus | rep 2/3 OK (33s)
[209/504] Q-BSP-005 | opus | rep 3/3 OK (35s)
[210/504] Q-BSP-033 | haiku | rep 1/3 OK (31s)
[211/504] Q-BSP-033 | haiku | rep 2/3 OK (22s)
Q-BSP-033 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[212/504] Q-BSP-033 | sonnet | rep 1/3 OK (24s)
[213/504] Q-BSP-033 | sonnet | rep 2/3 OK (26s)
Q-BSP-033 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[214/504] Q-BSP-033 | opus | rep 1/3 OK (23s)
[215/504] Q-BSP-033 | opus | rep 2/3 OK (19s)
[216/504] Q-BSP-033 | opus | rep 3/3 OK (56s)
[217/504] Q-BSP-034 | haiku | rep 1/3 OK (41s)
[218/504] Q-BSP-034 | haiku | rep 2/3 OK (37s)
[219/504] Q-BSP-034 | haiku | rep 3/3 OK (18s)
[220/504] Q-BSP-034 | sonnet | rep 1/3 OK (50s)
[221/504] Q-BSP-034 | sonnet | rep 2/3 OK (75s)
[222/504] Q-BSP-034 | sonnet | rep 3/3 OK (83s)
[223/504] Q-BSP-034 | opus | rep 1/3 OK (25s)
[224/504] Q-BSP-034 | opus | rep 2/3 OK (67s)
[225/504] Q-BSP-034 | opus | rep 3/3 OK (35s)
[226/504] Q-BSP-035 | haiku | rep 1/3 OK (25s)
[227/504] Q-BSP-035 | haiku | rep 2/3 OK (22s)
Q-BSP-035 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[228/504] Q-BSP-035 | sonnet | rep 1/3 OK (29s)
[229/504] Q-BSP-035 | sonnet | rep 2/3 OK (16s)
Q-BSP-035 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[230/504] Q-BSP-035 | opus | rep 1/3 OK (26s)
[231/504] Q-BSP-035 | opus | rep 2/3 OK (22s)
Q-BSP-035 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[232/504] Q-BSP-036 | haiku | rep 1/3 OK (26s)
[233/504] Q-BSP-036 | haiku | rep 2/3 OK (23s)
[234/504] Q-BSP-036 | haiku | rep 3/3 OK (34s)
[235/504] Q-BSP-036 | sonnet | rep 1/3 OK (38s)
[236/504] Q-BSP-036 | sonnet | rep 2/3 OK (24s)
Q-BSP-036 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[237/504] Q-BSP-036 | opus | rep 1/3 OK (41s)
[238/504] Q-BSP-036 | opus | rep 2/3 OK (31s)
Q-BSP-036 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[239/504] Q-BSP-037 | haiku | rep 1/3 OK (34s)
[240/504] Q-BSP-037 | haiku | rep 2/3 OK (24s)
Q-BSP-037 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[241/504] Q-BSP-037 | sonnet | rep 1/3 OK (107s)
[242/504] Q-BSP-037 | sonnet | rep 2/3 OK (59s)
[243/504] Q-BSP-037 | sonnet | rep 3/3 OK (44s)
[244/504] Q-BSP-037 | opus | rep 1/3 OK (93s)
[245/504] Q-BSP-037 | opus | rep 2/3 OK (34s)
[246/504] Q-BSP-037 | opus | rep 3/3 OK (59s)
[247/504] Q-BSP-046 | haiku | rep 1/3 OK (49s)
[248/504] Q-BSP-046 | haiku | rep 2/3 OK (24s)
[249/504] Q-BSP-046 | haiku | rep 3/3 OK (53s)
[250/504] Q-BSP-046 | sonnet | rep 1/3 OK (28s)
[251/504] Q-BSP-046 | sonnet | rep 2/3 OK (68s)
Q-BSP-046 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[252/504] Q-BSP-046 | opus | rep 1/3 OK (47s)
[253/504] Q-BSP-046 | opus | rep 2/3 OK (42s)
Q-BSP-046 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[254/504] Q-BSP-047 | haiku | rep 1/3 OK (11s)
[255/504] Q-BSP-047 | haiku | rep 2/3 OK (11s)
[256/504] Q-BSP-047 | haiku | rep 3/3 OK (35s)
[257/504] Q-BSP-047 | sonnet | rep 1/3 OK (36s)
[258/504] Q-BSP-047 | sonnet | rep 2/3 OK (18s)
[259/504] Q-BSP-047 | sonnet | rep 3/3 OK (22s)
[260/504] Q-BSP-047 | opus | rep 1/3 OK (18s)
[261/504] Q-BSP-047 | opus | rep 2/3 OK (21s)
Q-BSP-047 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[262/504] Q-BSP-048 | haiku | rep 1/3 OK (23s)
[263/504] Q-BSP-048 | haiku | rep 2/3 OK (20s)
[264/504] Q-BSP-048 | haiku | rep 3/3 OK (22s)
[265/504] Q-BSP-048 | sonnet | rep 1/3 OK (53s)
[266/504] Q-BSP-048 | sonnet | rep 2/3 OK (59s)
[267/504] Q-BSP-048 | sonnet | rep 3/3 OK (50s)
[268/504] Q-BSP-048 | opus | rep 1/3 OK (44s)
[269/504] Q-BSP-048 | opus | rep 2/3 OK (19s)
Q-BSP-048 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[270/504] Q-BSP-049 | haiku | rep 1/3 OK (22s)
[271/504] Q-BSP-049 | haiku | rep 2/3 OK (26s)
Q-BSP-049 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[272/504] Q-BSP-049 | sonnet | rep 1/3 OK (34s)
[273/504] Q-BSP-049 | sonnet | rep 2/3 OK (26s)
[274/504] Q-BSP-049 | sonnet | rep 3/3 OK (38s)
[275/504] Q-BSP-049 | opus | rep 1/3 OK (37s)
[276/504] Q-BSP-049 | opus | rep 2/3 OK (47s)
Q-BSP-049 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[277/504] Q-BSP-050 | haiku | rep 1/3 OK (45s)
[278/504] Q-BSP-050 | haiku | rep 2/3 OK (57s)
[279/504] Q-BSP-050 | haiku | rep 3/3 OK (33s)
[280/504] Q-BSP-050 | sonnet | rep 1/3 OK (37s)
[281/504] Q-BSP-050 | sonnet | rep 2/3 OK (33s)
[282/504] Q-BSP-050 | sonnet | rep 3/3 OK (103s)
[283/504] Q-BSP-050 | opus | rep 1/3 OK (38s)
[284/504] Q-BSP-050 | opus | rep 2/3 OK (33s)
Q-BSP-050 | opus | rep 3/3 SKIP (первые два ответа семантически совпали)
[285/504] Q-BSP-055 | haiku | rep 1/3 OK (16s)
[286/504] Q-BSP-055 | haiku | rep 2/3 OK (23s)
Q-BSP-055 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
[287/504] Q-BSP-055 | sonnet | rep 1/3 OK (36s)
[288/504] Q-BSP-055 | sonnet | rep 2/3 OK (33s)
Q-BSP-055 | sonnet | rep 3/3 SKIP (первые два ответа семантически совпали)
[289/504] Q-BSP-055 | opus | rep 1/3 OK (24s)
[290/504] Q-BSP-055 | opus | rep 2/3 OK (33s)
[291/504] Q-BSP-055 | opus | rep 3/3 OK (20s)
[292/504] Q-BSP-056 | haiku | rep 1/3 OK (73s)
[293/504] Q-BSP-056 | haiku | rep 2/3 OK (21s)
Q-BSP-056 | haiku | rep 3/3 SKIP (первые два ответа семантически совпали)
